"","1","2"
"c.30.6100525418367...95.3682653867347.",30.6100525418367,-95.3682653867347
"c.10.4387178261012...84.8217449702201.",10.4387178261012,-84.8217449702201
"c.10.3638909599721...84.1767005813859.",10.3638909599721,-84.1767005813859
"c.9.96868276294891...84.1348119826708.",9.96868276294891,-84.1348119826708
"c.16.5879103385629...90.9928411643135.",16.5879103385629,-90.9928411643135
"c.11.3123137888343...84.127161289388.",11.3123137888343,-84.127161289388
"c.10.1907847424075...83.7234220696816.",10.1907847424075,-83.7234220696816
"c.10.0093717958735...84.0491083130309.",10.0093717958735,-84.0491083130309
"c.30.6817034921089...110.265888723641.",30.6817034921089,-110.265888723641
"c.15.3012823411031...92.5517109098679.",15.3012823411031,-92.5517109098679
"c.27.9070271587593...103.77168907196.",27.9070271587593,-103.77168907196
"c.15.1146392600849...44.6269180636943.",15.1146392600849,-44.6269180636943
"c.18.0680076058085...99.3560532607072.",18.0680076058085,-99.3560532607072
"c.27.0471048343469...108.614598068305.",27.0471048343469,-108.614598068305
"c..16.7302184559342..30.3012873044125.",-16.7302184559342,30.3012873044125
"c.0.26543568503937..31.8409833070866.",0.26543568503937,31.8409833070866
"c.12.5362688448623...81.4283880513318.",12.5362688448623,-81.4283880513318
"c..32.77320563598..150.284648579457.",-32.77320563598,150.284648579457
"c..29.2195818236566..127.15347928125.",-29.2195818236566,127.15347928125
"c.10.2449713264692...87.7034088499705.",10.2449713264692,-87.7034088499705
"c.20.870922075419...141.259858712291.",20.870922075419,-141.259858712291
"c.9.95533566487685...83.815790913293.",9.95533566487685,-83.815790913293
"c.38.6860590638056..119.675565424769.",38.6860590638056,119.675565424769
"c.40.102018517558..89.0285841765317.",40.102018517558,89.0285841765317
"c.28.0507945619048..119.391271995238.",28.0507945619048,119.391271995238
"c.36.4873136199095...110.231106692308.",36.4873136199095,-110.231106692308
"c..8.9426019031339..34.644185031339.",-8.9426019031339,34.644185031339
"c..27.6245692557377..28.611590157377.",-27.6245692557377,28.611590157377
"c.16.6517253827113...92.5112137823413.",16.6517253827113,-92.5112137823413
"c.33.6621143324453..32.8397374167328.",33.6621143324453,32.8397374167328
"c.15.3781038363588...89.4958978699503.",15.3781038363588,-89.4958978699503
"c.33.9644498930379...107.137147444984.",33.9644498930379,-107.137147444984
"c..39.4255848412439...69.9956397184943.",-39.4255848412439,-69.9956397184943
"c..42.9933589041096...68.9180306267123.",-42.9933589041096,-68.9180306267123
"c..38.7221178221477...70.4619704010067.",-38.7221178221477,-70.4619704010067
"c..30.9822492777778...67.5584265.",-30.9822492777778,-67.5584265
"c..34.0166449887218...68.0689754398496.",-34.0166449887218,-68.0689754398496
"c..45.6871409285714...68.6060513333333.",-45.6871409285714,-68.6060513333333
"c..24.1932005...66.0472025.",-24.1932005,-66.0472025
"c..47.306496443299...67.8115863608247.",-47.306496443299,-67.8115863608247
"c..38.7203211620112...68.2508498100559.",-38.7203211620112,-68.2508498100559
"c..29.9810771666667...67.3533774333333.",-29.9810771666667,-67.3533774333333
"c..36.1006651065574...57.2852816147541.",-36.1006651065574,-57.2852816147541
"c..37.62925709375...58.872253359375.",-37.62925709375,-58.872253359375
"c..30.235869516129...68.5248281612903.",-30.235869516129,-68.5248281612903
"c..41.723690109375...67.813143921875.",-41.723690109375,-67.813143921875
"c..28.063902...66.8233463333333.",-28.063902,-66.8233463333333
"c..39.8837683444976...68.9584796315789.",-39.8837683444976,-68.9584796315789
"c..26.7977487407407...66.3199806296296.",-26.7977487407407,-66.3199806296296
"c.27.43558792...88.60575684.",27.43558792,-88.60575684
"c.34.7102273548387...112.172824666667.",34.7102273548387,-112.172824666667
"c.31.8206123228428...101.490253855478.",31.8206123228428,-101.490253855478
"c.38.9653640273163...114.061897497626.",38.9653640273163,-114.061897497626
"c..40.8185353939394...69.3418617575758.",-40.8185353939394,-69.3418617575758
"c.36.142520089232...118.842883316431.",36.142520089232,-118.842883316431
"c.21.7018966554622..106.827619647059.",21.7018966554622,106.827619647059
"c.4.45470998798396...80.1118133047774.",4.45470998798396,-80.1118133047774
"c.43.494036727208...80.3698183159876.",43.494036727208,-80.3698183159876
"c.9.80027735895738...83.586345236015.",9.80027735895738,-83.586345236015
"c.35.7348566578947...85.7463143684211.",35.7348566578947,-85.7463143684211
"c.37.0838506560191...117.460765002867.",37.0838506560191,-117.460765002867
"c.12.0249065919764...86.3404123110338.",12.0249065919764,-86.3404123110338
"c.34.7219541720322...118.938984805835.",34.7219541720322,-118.938984805835
"c.18.9260385195473...94.84229025.",18.9260385195473,-94.84229025
"c.22.174409375..120.1571748125.",22.174409375,120.1571748125
"c..24.1440616511628..115.048632011628.",-24.1440616511628,115.048632011628
"c.29.443917223563..119.595095119724.",29.443917223563,119.595095119724
"c.14.6658235798833..103.694852774372.",14.6658235798833,103.694852774372
"c.27.9088431847826...16.0441501195652.",27.9088431847826,-16.0441501195652
"c.45.3111530520182...123.617448096812.",45.3111530520182,-123.617448096812
"c.45.1335259707984...123.634770550186.",45.1335259707984,-123.634770550186
"c.34.2582430932798...116.945841086259.",34.2582430932798,-116.945841086259
"c.33.007954140074...118.60829627176.",33.007954140074,-118.60829627176
"c.34.0888366929329...115.36270116416.",34.0888366929329,-115.36270116416
"c.56.34187681..10.233252573.",56.34187681,10.233252573
